NAME,GEO_ID,COMM,COMM_LABEL,YEAR,VAL,TON,state,cfs area (or part)
1,'Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '03', 'Agricultural products (excludes animal feed, cereal grains, and forage products)', '2012', '0', '0', '01', '14200000'
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '08', 'Alcoholic beverages', '2017', '462', '183', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '08-R', 'Alcoholic beverages and denatured alcohol (CFS20)', '2012', '566', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '081', 'Malt beer', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0810', 'Malt beer', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0810', 'Malt beer', '2017', '211', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '082', 'Wine and other fermented beverages', '2012', '397', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '082', 'Wine and other fermented beverages', '2017', '252', '66', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0820', 'Wine and other fermented beverages', '2012', '397', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0820', 'Wine and other fermented beverages', '2017', '252', '66', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '083-R', 'Spirituous beverages and undenatured ethyl alcohol (CFS21)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0831-R', 'Undenatured ethyl alcohol that is 80% or more alcohol by volume (CFS22)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0841', 'Denatured ethyl alcohol of a strength of more than 80% by volume (excludes ethanol for use as biofuel)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '084', 'Denatured ethyl alcohol, not for ingestion or use as biofuel', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '084', 'Denatured ethyl alcohol, not for ingestion or use as biofuel', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0841', 'Denatured ethyl alcohol of a strength of more than 80% by volume (excludes ethanol for use as biofuel)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0842', 'Denatured ethyl alcohol of a strength of less than 80% by volume (excludes ethanol for use as biofuel)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '09', 'Tobacco products', '2012', '0', '2', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '09', 'Tobacco products', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '090', 'Tobacco products', '2012', '0', '2', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '090', 'Tobacco products', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0901', 'Cigarettes', '2012', '44', '1', '01', '14200000']
