City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Dwarka,IN,2022-01-30 18:23:27,22.2394,68.9678,70.36,76,0,10.45,clear sky
240,Lithakia,GR,2022-01-30 18:23:28,37.7167,20.8333,48.58,81,0,5.75,clear sky
241,Sydney,AU,2022-01-30 18:19:05,-33.8679,151.2073,70.11,91,20,3.56,few clouds
242,Cyangugu,RW,2022-01-30 18:23:29,-2.4846,28.9075,62.4,93,98,2.26,overcast clouds
243,Tyukhtet,RU,2022-01-30 18:23:30,56.5389,89.3011,-5.89,96,47,4.43,scattered clouds
244,Waipawa,NZ,2022-01-30 18:23:31,-41.4122,175.5153,56.03,84,94,3.67,overcast clouds
245,Paka,MY,2022-01-30 18:23:31,4.6374,103.4368,75.13,88,82,0.0,broken clouds
246,Saint-Philippe,RE,2022-01-30 18:23:32,-21.3585,55.7679,80.19,79,60,10.74,broken clouds
247,Jining,CN,2022-01-30 18:23:33,35.405,116.5814,37.99,1,11,8.63,few clouds
248,Katobu,ID,2022-01-30 18:23:34,-4.9408,122.5276,76.86,86,100,2.26,moderate rain
249,Khandyga,RU,2022-01-30 18:23:34,62.6667,135.6,-39.48,100,48,1.81,scattered clouds
250,Cherskiy,RU,2022-01-30 18:22:47,68.75,161.3,-24.0,97,88,4.74,overcast clouds
251,Ahipara,NZ,2022-01-30 18:23:35,-35.1667,173.1667,60.84,91,100,7.87,overcast clouds
252,Guerrero Negro,MX,2022-01-30 18:23:37,27.9769,-114.0611,64.42,56,69,11.32,broken clouds
253,Port Keats,AU,2022-01-30 18:23:37,-14.25,129.55,80.85,80,58,21.09,light rain
254,Sijunjung,ID,2022-01-30 18:23:38,-0.6876,100.9537,72.77,97,98,0.83,overcast clouds
255,Yeniseysk,RU,2022-01-30 18:23:39,58.4497,92.1703,-9.47,100,95,2.55,overcast clouds
256,Tasiilaq,GL,2022-01-30 18:23:40,65.6145,-37.6368,8.76,35,6,31.97,clear sky
257,Terrace,CA,2022-01-30 18:23:41,54.5163,-128.6035,37.42,93,75,4.61,broken clouds
258,Zhezkazgan,KZ,2022-01-30 18:23:42,47.8043,67.7144,18.12,96,100,6.82,overcast clouds
